,PlayerW,PlayerB,EloW,EloB,ECO,Result,Year
165,Carlsen,Praggnanandhaa R,2864,2624,A06,1-0,2022
166,Giri,Carlsen,2773,2864,A79,0-1,2022
167,Giri,Carlsen,2773,2864,D31,½-½,2022
168,Carlsen,Giri,2864,2773,A29,1-0,2022
169,Carlsen,Le,2864,2709,A06,0-1,2022
170,Carlsen,Le,2864,2709,E10,1-0,2022
171,Le,Carlsen,2709,2864,D30,½-½,2022
172,Le,Carlsen,2709,2864,A40,1-0,2022
173,Carlsen,Duda,2864,2750,A00,½-½,2022
174,Duda,Carlsen,2750,2864,B42,0-1,2022
175,Duda,Carlsen,2750,2864,B11,0-1,2022
176,Nepomniachtchi,Carlsen,2773,2865,B48,0-1,2022
177,Carlsen,Nepomniachtchi,2865,2773,C24,1-0,2022
178,Nepomniachtchi,Carlsen,2773,2865,B31,½-½,2022
179,Carlsen,Nepomniachtchi,2865,2773,A22,½-½,2022
180,Nepomniachtchi,Carlsen,2773,2865,C53,½-½,2022
181,Nepomniachtchi,Carlsen,2773,2865,B30,½-½,2022
182,Carlsen,Nepomniachtchi,2865,2773,D41,½-½,2022
183,Artemiev,Carlsen,2700,2865,D91,0-1,2022
184,Carlsen,Artemiev,2865,2700,A00,½-½,2022
185,Carlsen,Artemiev,2865,2700,A25,1-0,2022
186,Le,Carlsen,2709,2865,D27,½-½,2022
187,Le,Carlsen,2709,2865,D32,½-½,2022
188,Carlsen,Le,2865,2709,D39,½-½,2022
189,Carlsen,Le,2865,2709,A29,1-0,2022
190,Carlsen,Dubov,2865,2720,,1-0,2022
191,Caruana,Carlsen,2792,2865,B31,0-1,2022
192,Carlsen,Vidit,2865,2727,C50,½-½,2022
193,Karjakin,Carlsen,2743,2865,C67,½-½,2022
194,Carlsen,Mamedyarov,2865,2767,E04,1-0,2022
195,Shankland,Carlsen,2708,2865,D32,½-½,2022
196,Praggnanandhaa R,Carlsen,2612,2865,D27,0-1,2022
197,Carlsen,Rapport,2865,2763,E04,1-0,2022
198,Grandelius,Carlsen,2672,2865,B48,½-½,2022
199,Carlsen,Van Foreest,2865,2702,D78,½-½,2022
200,Duda,Carlsen,2760,2865,C88,½-½,2022
201,Carlsen,Giri,2865,2772,E06,1-0,2022
202,Esipenko,Carlsen,2714,2865,D45,½-½,2022
203,Carlsen,Nepomniachtchi,2856,2782,A07,1-0,2021
204,Martirosyan,Carlsen,2621,2856,D43,½-½,2021
205,Carlsen,Mastrovasilis,2856,2627,B46,1-0,2021
206,Carlsen,Giri,2856,2772,C65,0-1,2021
207,Grischuk,Carlsen,2764,2856,E04,1-0,2021
208,Alekseenko,Carlsen,2702,2856,C50,½-½,2021
209,Amin,Carlsen,2680,2856,B30,0-1,2021
210,Carlsen,Maghsoodloo,2856,2701,C02,1-0,2021
211,Vachier Lagrave,Carlsen,2761,2856,C88,1-0,2021
212,Indjic,Carlsen,2623,2856,D37,0-1,2021
213,Predke,Carlsen,2682,2856,D36,0-1,2021
214,Socko,Carlsen,2642,2856,E10,1-0,2021
215,Carlsen,Fedoseev,2856,2704,E10,0-1,2021
216,Carlsen,Sychev,2856,2550,B40,1-0,2021
217,Carlsen,Sjugirov,2856,2680,C65,1-0,2021
218,Carlsen,Gelfand,2856,2663,B23,1-0,2021
219,Carlsen,Erigaisi Arjun,2856,2629,C42,½-½,2021
220,Sanal,Carlsen,2601,2856,B06,0-1,2021
221,Corrales Jimenez,Carlsen,2530,2856,C45,0-1,2021
222,Mamedyarov,Carlsen,2767,2856,A45,1-0,2021
223,Carlsen,Kobalia,2856,2596,B12,1-0,2021
224,Nakamura,Carlsen,2736,2856,D37,½-½,2021
225,Abdusattorov,Carlsen,2633,2856,A28,1-0,2021
226,Carlsen,Aronian,2856,2772,D27,1-0,2021
227,Carlsen,Nepomniachtchi,2856,2782,E06,½-½,2021
228,Carlsen,Firouzja,2856,2804,B12,1-0,2021
229,Jobava,Carlsen,2588,2856,D53,½-½,2021
230,Grischuk,Carlsen,2764,2856,D36,½-½,2021
231,Carlsen,Duda,2856,2760,B29,1-0,2021
232,Shirov,Carlsen,2704,2856,C84,0-1,2021
233,Carlsen,Harsha,2856,2489,B51,1-0,2021
234,Carlsen,Dreev,2856,2623,D02,1-0,2021
235,Ter Sahakyan,Carlsen,2637,2856,C88,½-½,2021
236,Carlsen,Gagunashvili,2856,2573,C77,1-0,2021
237,Carlsen,Nepomniachtchi,2855,2782,C42,½-½,2021
238,Nepomniachtchi,Carlsen,2782,2855,C88,½-½,2021
239,Carlsen,Nepomniachtchi,2855,2782,E06,½-½,2021
240,Nepomniachtchi,Carlsen,2782,2855,C88,½-½,2021
241,Nepomniachtchi,Carlsen,2782,2855,C50,0-1,2021
242,Carlsen,Nepomniachtchi,2855,2782,C42,½-½,2021
243,Nepomniachtchi,Carlsen,2782,2855,A13,0-1,2021
244,Carlsen,Nepomniachtchi,2855,2782,C43,1-0,2021
245,Nepomniachtchi,Carlsen,2782,2855,C88,½-½,2021
246,Carlsen,Nepomniachtchi,2855,2782,D02,1-0,2021
247,Nepomniachtchi,Carlsen,2782,2855,C88,½-½,2021
248,Arvola,Carlsen,2471,2855,B14,0-1,2021
249,Mamedyarov,Carlsen,2762,2855,E62,½-½,2021
250,Carlsen,Llobel Cortell,2855,2392,B30,1-0,2021
251,Sarrau,Carlsen,2374,2855,A20,0-1,2021
252,Nepomniachtchi,Carlsen,2792,2855,C28,0-1,2021
253,Nepomniachtchi,Carlsen,2792,2855,C53,½-½,2021
254,Carlsen,Karjakin,2855,2758,C65,1-0,2021
255,Carlsen,Rapport,2855,2760,C65,1-0,2021
256,Tari,Carlsen,2642,2855,C88,0-1,2021
257,Carlsen,Firouzja,2855,2754,C78,1-0,2021
258,Karjakin,Carlsen,2758,2855,B33,1-0,2021
259,Carlsen,Nepomniachtchi,2855,2792,A05,1-0,2021
260,Carlsen,Nepomniachtchi,2855,2792,C67,½-½,2021
261,Rapport,Carlsen,2760,2855,E94,½-½,2021
262,Rapport,Carlsen,2760,2855,A08,½-½,2021
263,Carlsen,Tari,2855,2642,C50,1-0,2021
264,Carlsen,Tari,2855,2642,C50,½-½,2021
265,Firouzja,Carlsen,2754,2855,B30,½-½,2021
266,Firouzja,Carlsen,2754,2855,B30,½-½,2021
267,Carlsen,Bacrot,2847,2678,B52,1-0,2021
268,Bacrot,Carlsen,2678,2847,C88,0-1,2021
269,Esipenko,Carlsen,2716,2847,C53,½-½,2021
270,Carlsen,Esipenko,2847,2716,C65,1-0,2021
271,Esipenko,Carlsen,2716,2847,C53,1-0,2021
272,Esipenko,Carlsen,2716,2847,C53,0-1,2021
273,Carlsen,Esipenko,2847,2716,E10,½-½,2021
274,Carlsen,Esipenko,2847,2716,E10,1-0,2021
275,Esipenko,Carlsen,2716,2847,C53,½-½,2021
276,Carlsen,Esipenko,2847,2716,E10,½-½,2021
277,Carlsen,Wojtaszek,2847,2691,E47,1-0,2021
278,Wojtaszek,Carlsen,2691,2847,E01,½-½,2021
279,Carlsen,Wojtaszek,2847,2691,B51,½-½,2021
280,Wojtaszek,Carlsen,2691,2847,E06,½-½,2021
281,Tari,Carlsen,2639,2847,B46,0-1,2021
282,Carlsen,Tari,2847,2639,A13,1-0,2021
283,Carlsen,Martinovic,2847,2548,B56,1-0,2021
284,Martinovic,Carlsen,2548,2847,D85,0-1,2021
285,Carlsen,Fedoseev,2847,2696,B12,1-0,2021
286,Fedoseev,Carlsen,2696,2847,E60,0-1,2021
287,Carlsen,Duda,2847,2738,B52,0-1,2021
288,Duda,Carlsen,2738,2847,C65,½-½,2021
289,Duda,Carlsen,2738,2847,C88,½-½,2021
290,Carlsen,Duda,2847,2738,D37,½-½,2021
291,Carlsen,So,2847,2770,D37,0-1,2021
292,Carlsen,So,2847,2770,A29,1-0,2021
293,So,Carlsen,2770,2847,C53,1-0,2021
294,So,Carlsen,2770,2847,C53,0-1,2021
295,Carlsen,So,2847,2770,C67,½-½,2021
296,So,Carlsen,2770,2847,D31,½-½,2021
297,So,Carlsen,2770,2847,C53,1-0,2021
298,Carlsen,So,2847,2770,A28,1-0,2021
299,So,Carlsen,2770,2847,C53,½-½,2021
300,Carlsen,So,2847,2770,A28,1-0,2021
301,Erigaisi Arjun,Carlsen,2567,2847,D11,½-½,2021
302,Ding,Carlsen,2799,2847,E01,½-½,2021
303,Carlsen,Gukesh D,2847,2578,D00,½-½,2021
304,Carlsen,Vidit,2847,2726,D41,1-0,2021
305,Carlsen,Adhiban,2847,2660,E97,½-½,2021
306,Carlsen,Dubov,2847,2714,C65,1-0,2021
307,Duda,Carlsen,2729,2847,D37,½-½,2021
308,Aronian,Carlsen,2781,2847,B31,1-0,2021
309,Carlsen,Giri,2847,2780,C50,½-½,2021
310,Artemiev,Carlsen,2704,2847,A29,½-½,2021
311,Firouzja,Carlsen,2759,2847,C26,1-0,2021
312,So,Carlsen,2770,2847,C67,½-½,2021
313,Salem,Carlsen,2682,2847,D43,0-1,2021
314,Carlsen,Hou,2847,2658,D40,1-0,2021
315,Carlsen,Svidler,2847,2714,B90,1-0,2021
316,Ding,Carlsen,2799,2847,E01,½-½,2021
317,Ding,Carlsen,2799,2847,E60,1-0,2021
318,Carlsen,Ding,2847,2799,C84,1-0,2021
319,Carlsen,Ding,2847,2799,A01,0-1,2021
320,Ding,Carlsen,2799,2847,E06,1-0,2021
321,Ding,Carlsen,2799,2847,E06,½-½,2021
322,Ding,Carlsen,2799,2847,E06,½-½,2021
323,Carlsen,Ding,2847,2799,B13,½-½,2021
324,Carlsen,Ding,2847,2799,A22,1-0,2021
325,Carlsen,Aronian,2847,2781,C78,½-½,2021
326,Carlsen,Aronian,2847,2781,C53,0-1,2021
327,Aronian,Carlsen,2781,2847,C01,1-0,2021
328,Aronian,Carlsen,2781,2847,C79,1-0,2021
329,Carlsen,Aronian,2847,2781,C78,0-1,2021
330,Aronian,Carlsen,2781,2847,B31,½-½,2021
331,Carlsen,Aronian,2847,2781,A45,1-0,2021
332,Aronian,Carlsen,2781,2847,B31,½-½,2021
333,Carlsen,Aronian,2847,2781,E54,1-0,2021
334,Aronian,Carlsen,2781,2847,C91,1-0,2021
335,So,Carlsen,2770,2847,B30,1-0,2021
336,Carlsen,So,2847,2770,D41,½-½,2021
337,Carlsen,So,2847,2770,A00,0-1,2021
338,So,Carlsen,2770,2847,C67,½-½,2021
339,Carlsen,So,2847,2770,D40,1-0,2021
340,Carlsen,So,2847,2770,C50,1-0,2021
341,So,Carlsen,2770,2847,B51,0-1,2021
342,So,Carlsen,2770,2847,C53,1-0,2021
343,Carlsen,So,2847,2770,C67,½-½,2021
344,So,Carlsen,2770,2847,C53,0-1,2021
345,Carlsen,So,2847,2770,C67,½-½,2021
346,Radjabov,Carlsen,2765,2847,D31,0-1,2021
347,Carlsen,Radjabov,2847,2765,B00,1-0,2021
348,Carlsen,Radjabov,2847,2765,C67,½-½,2021
349,Radjabov,Carlsen,2765,2847,D41,½-½,2021
350,Radjabov,Carlsen,2765,2847,D38,1-0,2021
351,Radjabov,Carlsen,2765,2847,D31,½-½,2021
352,Carlsen,Radjabov,2847,2765,C50,½-½,2021
353,Carlsen,Radjabov,2847,2765,E60,1-0,2021
354,Carlsen,Nakamura,2847,2736,C50,0-1,2021
355,Carlsen,Nakamura,2847,2736,D37,1-0,2021
356,Carlsen,Nakamura,2847,2736,A00,½-½,2021
357,Nakamura,Carlsen,2736,2847,C65,0-1,2021
358,Nakamura,Carlsen,2736,2847,C65,½-½,2021
359,Nakamura,Carlsen,2736,2847,B51,0-1,2021
360,Nakamura,Carlsen,2736,2847,C65,1-0,2021
361,Carlsen,Nakamura,2847,2736,C50,1-0,2021
362,Carlsen,Nakamura,2847,2736,C50,1-0,2021
363,Nakamura,Carlsen,2736,2847,C80,1-0,2021
364,Carlsen,Svidler,2847,2714,B51,½-½,2021
365,Caruana,Carlsen,2820,2847,C67,½-½,2021
366,Carlsen,Radjabov,2847,2765,B30,1-0,2021
367,Firouzja,Carlsen,2759,2847,C65,½-½,2021
368,Carlsen,Nakamura,2847,2736,C53,½-½,2021
369,Carlsen,Giri,2847,2780,A00,½-½,2021
370,Carlsen,Grischuk,2847,2776,A01,1-0,2021
371,Aronian,Carlsen,2781,2847,D02,1-0,2021
372,Ding,Carlsen,2799,2847,D31,½-½,2021
373,Dubov,Carlsen,2710,2847,D06,0-1,2021
374,Carlsen,Nepomniachtchi,2847,2792,B49,½-½,2021
375,So,Carlsen,2770,2847,C67,½-½,2021
376,Carlsen,Vachier Lagrave,2847,2760,B23,0-1,2021
377,Pichot,Carlsen,2630,2847,B10,½-½,2021
378,Mamedyarov,Carlsen,2770,2847,A07,0-1,2021
379,Carlsen,Aronian,2847,2781,B51,1-0,2021
380,Carlsen,Aronian,2847,2781,C53,½-½,2021
381,Aronian,Carlsen,2781,2847,D02,½-½,2021
382,Aronian,Carlsen,2781,2847,D02,0-1,2021
383,Carlsen,Aronian,2847,2781,D35,1-0,2021
384,Carlsen,Aronian,2847,2781,C50,½-½,2021
385,Aronian,Carlsen,2781,2847,A46,½-½,2021
386,Aronian,Carlsen,2781,2847,A46,1-0,2021
387,Radjabov,Carlsen,2765,2847,D37,½-½,2021
388,Radjabov,Carlsen,2765,2847,D39,½-½,2021
389,Carlsen,Radjabov,2847,2765,E36,1-0,2021
390,Carlsen,Radjabov,2847,2765,B65,½-½,2021
391,Radjabov,Carlsen,2765,2847,D37,½-½,2021
392,Carlsen,Radjabov,2847,2765,D37,½-½,2021
393,Carlsen,Radjabov,2847,2765,C65,½-½,2021
394,Radjabov,Carlsen,2765,2847,D41,½-½,2021
395,Carlsen,So,2847,2770,C67,½-½,2021
396,Carlsen,Duda,2847,2729,B90,1-0,2021
397,Firouzja,Carlsen,2759,2847,D12,0-1,2021
398,Mamedyarov,Carlsen,2770,2847,D45,½-½,2021
399,Praggnanandhaa R,Carlsen,2608,2847,D37,½-½,2021
400,Carlsen,Nakamura,2847,2736,C53,½-½,2021
401,Carlsen,Jones,2847,2670,B72,1-0,2021
402,Carlsen,Aronian,2847,2781,C78,½-½,2021
403,Tari,Carlsen,2639,2847,B06,0-1,2021
404,Christiansen,Carlsen,2618,2847,B00,½-½,2021
405,Le,Carlsen,2709,2847,D37,0-1,2021
406,Carlsen,Radjabov,2847,2765,C65,½-½,2021
407,Carlsen,Dominguez Perez,2847,2758,C53,1-0,2021
408,Carlsen,Karjakin,2847,2757,C65,½-½,2021
409,Vidit,Carlsen,2726,2847,E34,½-½,2021
410,Nakamura,Carlsen,2736,2847,E35,1-0,2021
411,Carlsen,Nakamura,2847,2736,B22,½-½,2021
412,Nakamura,Carlsen,2736,2847,D31,0-1,2021
413,Carlsen,Nakamura,2847,2736,C53,½-½,2021
414,Nakamura,Carlsen,2736,2847,C65,½-½,2021
415,Carlsen,Nakamura,2847,2736,E32,½-½,2021
416,Carlsen,Nakamura,2847,2736,C53,1-0,2021
417,Nakamura,Carlsen,2736,2847,D11,0-1,2021
418,So,Carlsen,2770,2847,A20,½-½,2021
419,So,Carlsen,2770,2847,E20,0-1,2021
420,Carlsen,So,2847,2770,B52,½-½,2021
421,Carlsen,So,2847,2770,C46,½-½,2021
422,So,Carlsen,2770,2847,C53,0-1,2021
423,So,Carlsen,2770,2847,C88,½-½,2021
424,Carlsen,So,2847,2770,C46,1-0,2021
425,Nepomniachtchi,Carlsen,2789,2847,C84,½-½,2021
426,Carlsen,Nepomniachtchi,2847,2789,D35,0-1,2021
427,Nepomniachtchi,Carlsen,2789,2847,B40,0-1,2021
428,Carlsen,Nepomniachtchi,2847,2789,D35,0-1,2021
429,Carlsen,Nepomniachtchi,2847,2789,B90,1-0,2021
430,Nepomniachtchi,Carlsen,2789,2847,C84,½-½,2021
431,Nepomniachtchi,Carlsen,2789,2847,C83,½-½,2021
432,Carlsen,Nepomniachtchi,2847,2789,D37,0-1,2021
433,Nepomniachtchi,Carlsen,2789,2847,B51,½-½,2021
434,Carlsen,Nepomniachtchi,2847,2789,D37,½-½,2021
435,Aronian,Carlsen,2781,2847,C67,½-½,2021
436,Carlsen,Aronian,2847,2781,C47,½-½,2021
437,Aronian,Carlsen,2781,2847,C78,0-1,2021
438,Carlsen,Aronian,2847,2781,B51,½-½,2021
439,Carlsen,Aronian,2847,2781,E32,1-0,2021
440,Aronian,Carlsen,2781,2847,C77,0-1,2021
441,Carlsen,Pichot,2847,2630,B47,1-0,2021
442,Carlsen,Nakamura,2847,2736,C20,½-½,2021
443,Carlsen,Aronian,2847,2781,D38,½-½,2021
444,So,Carlsen,2770,2847,D10,½-½,2021
445,Dubov,Carlsen,2710,2847,D43,½-½,2021
446,Carlsen,Karjakin,2847,2757,D61,1-0,2021
447,Nepomniachtchi,Carlsen,2789,2847,B33,0-1,2021
448,Grandelius,Carlsen,2670,2847,B30,½-½,2021
449,Radjabov,Carlsen,2765,2847,D43,½-½,2021
450,Carlsen,Mamedyarov,2847,2770,B40,1-0,2021
451,Van Foreest,Carlsen,2701,2847,B27,0-1,2021
452,Carlsen,Anton Guijarro,2847,2673,C77,1-0,2021
453,Firouzja,Carlsen,2759,2847,D05,½-½,2021
454,Giri,Carlsen,2776,2847,B36,1-0,2021
455,Carlsen,Vachier Lagrave,2847,2758,A00,1-0,2021
456,Carlsen,So,2862,2770,C50,½-½,2021
457,So,Carlsen,2770,2862,B30,1-0,2021
458,Carlsen,So,2862,2770,C50,½-½,2021
459,So,Carlsen,2770,2862,C50,½-½,2021
460,So,Carlsen,2770,2862,C53,1-0,2021
461,So,Carlsen,2770,2862,C58,0-1,2021
462,Carlsen,So,2862,2770,E21,½-½,2021
463,Carlsen,So,2862,2770,C67,½-½,2021
464,Vachier Lagrave,Carlsen,2784,2862,B30,1-0,2021
465,Carlsen,Vachier Lagrave,2862,2784,B90,½-½,2021
